Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
MAP2K1	mitogen-activated protein kinase kinase 1	148 / 16,405	1
MALT1	MALT1 paracaspase	142 / 16,405	1
ETV5	ETS variant transcription factor 5	159 / 16,405	1
ITGAV	integrin subunit alpha V	260 / 16,405	1
ARHGEF12	Rho guanine nucleotide exchange factor 12	305 / 16,405	1
TPM3	tropomyosin 3	115 / 16,405	1
TSC1	TSC complex subunit 1	273 / 16,405	1
MTCP1	mature T cell proliferation 1	23 / 16,405	1
NUTM1	NUT midline carcinoma family member 1	309 / 16,405	1
LHFPL6	LHFPL tetraspan subfamily member 6	65 / 16,405	1
GPHN	gephyrin	213 / 16,405	1
ELN	elastin	238 / 16,405	1
EPHA3	EPH receptor A3	523 / 16,405	1
PCM1	pericentriolar material 1	230 / 16,405	1
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	1
NRG1	neuregulin 1	448 / 16,405	1
STRN	striatin	159 / 16,405	1
SOX2	SRY-box transcription factor 2	111 / 16,405	1
RUNX1	RUNX family transcription factor 1	269 / 16,405	1
LMNA	lamin A/C	156 / 16,405	1
ZNF384	zinc finger protein 384	131 / 16,405	1
CYP2C8	cytochrome P450 family 2 subfamily C member 8	176 / 16,405	1
NBEA	neurobeachin	699 / 16,405	1
TFPT	TCF3 fusion partner	68 / 16,405	1
DICER1	dicer 1, ribonuclease III	385 / 16,405	1
ALDH2	aldehyde dehydrogenase 2 family member	126 / 16,405	1
PER1	period circadian regulator 1	242 / 16,405	1
EXT1	exostosin glycosyltransferase 1	215 / 16,405	1
ERBB3	erb-b2 receptor tyrosine kinase 3	380 / 16,405	1
BCL11B	BAF chromatin remodeling complex subunit BCL11B	350 / 16,405	2
BAP1	BRCA1 associated protein 1	332 / 16,405	2
AFDN	afadin, adherens junction formation factor	416 / 16,405	1
PAX7	paired box 7	201 / 16,405	1
RBM15	RNA binding motif protein 15	220 / 16,405	1
CDKN2C	cyclin dependent kinase inhibitor 2C	56 / 16,405	1
FLCN	folliculin	166 / 16,405	1
