Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
CDK12	cyclin dependent kinase 12	371 / 16,405	36
LARP4B	La ribonucleoprotein 4B	268 / 16,405	29
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	35
BCOR	BCL6 corepressor	489 / 16,405	35
AFF3	AF4/FMR2 family member 3	440 / 16,405	36
NF1	neurofibromin 1	873 / 16,405	38
EP300	E1A binding protein p300	566 / 16,405	39
CAMTA1	calmodulin binding transcription activator 1	481 / 16,405	38
POLD1	DNA polymerase delta 1, catalytic subunit	251 / 16,405	35
ARHGEF10	Rho guanine nucleotide exchange factor 10	316 / 16,405	34
PTCH1	patched 1	386 / 16,405	32
MUC4	mucin 4, cell surface associated	630 / 16,405	37
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	39
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	37
NACA	nascent polypeptide associated complex subunit alpha	341 / 16,405	33
PTPRC	protein tyrosine phosphatase receptor type C	485 / 16,405	37
PDGFRA	platelet derived growth factor receptor alpha	440 / 16,405	38
SETBP1	SET binding protein 1	532 / 16,405	39
ASXL1	ASXL transcriptional regulator 1	403 / 16,405	27
AXIN2	axin 2	248 / 16,405	28
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	390 / 16,405	31
PTEN	phosphatase and tensin homolog	1,230 / 16,405	32
AR	androgen receptor	339 / 16,405	33
CTNNB1	catenin beta 1	547 / 16,405	30
RANBP2	RAN binding protein 2	533 / 16,405	37
COL3A1	collagen type III alpha 1 chain	583 / 16,405	34
MECOM	MDS1 and EVI1 complex locus	443 / 16,405	22
CNTRL	centriolin	351 / 16,405	33
CLIP1	CAP-Gly domain containing linker protein 1	266 / 16,405	28
ZNF521	zinc finger protein 521	536 / 16,405	37
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	38
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	35
KDR	kinase insert domain receptor	501 / 16,405	40
COL1A1	collagen type I alpha 1 chain	383 / 16,405	31
CIC	capicua transcriptional repressor	462 / 16,405	31
PDGFRB	platelet derived growth factor receptor beta	264 / 16,405	30
NIN	ninein	384 / 16,405	31
PRDM16	PR/SET domain 16	377 / 16,405	36
BAZ1A	bromodomain adjacent to zinc finger domain 1A	270 / 16,405	28
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	568 / 16,405	29
CIITA	class II major histocompatibility complex transactivator	319 / 16,405	29
BLM	BLM RecQ like helicase	261 / 16,405	20
PRDM2	PR/SET domain 2	333 / 16,405	32
MSH6	mutS homolog 6	318 / 16,405	32
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	35
GLI1	GLI family zinc finger 1	328 / 16,405	18
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	33
STAG1	stromal antigen 1	297 / 16,405	30
RET	ret proto-oncogene	365 / 16,405	29
KIT	KIT proto-oncogene, receptor tyrosine kinase	336 / 16,405	30
COL2A1	collagen type II alpha 1 chain	404 / 16,405	26
ATR	ATR serine/threonine kinase	495 / 16,405	33
B2M	beta-2-microglobulin	178 / 16,405	25
GRM3	glutamate metabotropic receptor 3	528 / 16,405	28
ZMYM2	zinc finger MYM-type containing 2	287 / 16,405	22
LIFR	LIF receptor subunit alpha	330 / 16,405	35
PCM1	pericentriolar material 1	230 / 16,405	28
SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	284 / 16,405	22
SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	298 / 16,405	26
CHD2	chromodomain helicase DNA binding protein 2	354 / 16,405	27
RUNX1T1	RUNX1 partner transcriptional co-repressor 1	513 / 16,405	27
MAP2K4	mitogen-activated protein kinase kinase 4	214 / 16,405	25
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	30
NOTCH2	notch receptor 2	430 / 16,405	26
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	28
AFDN	afadin, adherens junction formation factor	416 / 16,405	31
PAX3	paired box 3	232 / 16,405	19
NCOA2	nuclear receptor coactivator 2	304 / 16,405	27
KNL1	kinetochore scaffold 1	332 / 16,405	36
NTRK3	neurotrophic receptor tyrosine kinase 3	504 / 16,405	27
ARHGAP5	Rho GTPase activating protein 5	360 / 16,405	23
NUP214	nucleoporin 214	360 / 16,405	23
RPL22	ribosomal protein L22	263 / 16,405	6
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	27
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	30
SF3B1	splicing factor 3b subunit 1	366 / 16,405	26
BCR	BCR activator of RhoGEF and GTPase	273 / 16,405	24
RBM15	RNA binding motif protein 15	220 / 16,405	22
EBF1	EBF transcription factor 1	267 / 16,405	24
N4BP2	NEDD4 binding protein 2	304 / 16,405	26
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	24
SALL4	spalt like transcription factor 4	373 / 16,405	24
KDM5A	lysine demethylase 5A	358 / 16,405	27
DROSHA	drosha ribonuclease III	280 / 16,405	30
JAK3	Janus kinase 3	280 / 16,405	25
NUP98	nucleoporin 98 and 96 precursor	327 / 16,405	23
KAT6B	lysine acetyltransferase 6B	348 / 16,405	26
PBRM1	polybromo 1	579 / 16,405	26
CTNND1	catenin delta 1	272 / 16,405	27
TSC1	TSC complex subunit 1	273 / 16,405	25
DICER1	dicer 1, ribonuclease III	385 / 16,405	33
ERBB3	erb-b2 receptor tyrosine kinase 3	380 / 16,405	21
BRD3	bromodomain containing 3	188 / 16,405	16
SMAD2	SMAD family member 2	175 / 16,405	20
MSH2	mutS homolog 2	206 / 16,405	23
GATA3	GATA binding protein 3	386 / 16,405	24
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	299 / 16,405	24
PRKCB	protein kinase C beta	344 / 16,405	27
PDE4DIP	phosphodiesterase 4D interacting protein	434 / 16,405	31
TGFBR2	transforming growth factor beta receptor 2	251 / 16,405	17
TSC2	TSC complex subunit 2	387 / 16,405	27
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	222 / 16,405	25
NSD2	nuclear receptor binding SET domain protein 2	387 / 16,405	24
MRTFA	myocardin related transcription factor A	203 / 16,405	23
FKBP9	FKBP prolyl isomerase 9	152 / 16,405	16
EPHA7	EPH receptor A7	419 / 16,405	27
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	12
ZEB1	zinc finger E-box binding homeobox 1	390 / 16,405	21
ETV1	ETS variant transcription factor 1	229 / 16,405	21
SMC1A	structural maintenance of chromosomes 1A	266 / 16,405	22
TET2	tet methylcytosine dioxygenase 2	334 / 16,405	29
AFF4	AF4/FMR2 family member 4	241 / 16,405	23
DCTN1	dynactin subunit 1	275 / 16,405	23
GNAS	GNAS complex locus	366 / 16,405	15
TP63	tumor protein p63	401 / 16,405	21
FANCA	FA complementation group A	255 / 16,405	24
STAT5B	signal transducer and activator of transcription 5B	206 / 16,405	15
EML4	EMAP like 4	195 / 16,405	17
BRD4	bromodomain containing 4	264 / 16,405	21
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	194 / 16,405	19
CASP8	caspase 8	318 / 16,405	21
SMAD3	SMAD family member 3	160 / 16,405	25
