Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
DCC	DCC netrin 1 receptor	750 / 16,405	9
MUC4	mucin 4, cell surface associated	630 / 16,405	9
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	149 / 16,405	9
STAG1	stromal antigen 1	297 / 16,405	9
ARID2	AT-rich interaction domain 2	527 / 16,405	9
NACA	nascent polypeptide associated complex subunit alpha	341 / 16,405	9
FLT4	fms related receptor tyrosine kinase 4	470 / 16,405	9
NUP214	nucleoporin 214	360 / 16,405	9
POLD1	DNA polymerase delta 1, catalytic subunit	251 / 16,405	8
ALK	ALK receptor tyrosine kinase	491 / 16,405	8
SETBP1	SET binding protein 1	532 / 16,405	8
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	7
FGFR3	fibroblast growth factor receptor 3	270 / 16,405	9
PTPN13	protein tyrosine phosphatase non-receptor type 13	444 / 16,405	8
ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	194 / 16,405	8
GPHN	gephyrin	213 / 16,405	8
TRIP11	thyroid hormone receptor interactor 11	315 / 16,405	9
NIN	ninein	384 / 16,405	8
ARID1B	AT-rich interaction domain 1B	477 / 16,405	8
ARHGAP26	Rho GTPase activating protein 26	204 / 16,405	8
MYH11	myosin heavy chain 11	566 / 16,405	8
NUMA1	nuclear mitotic apparatus protein 1	358 / 16,405	8
NCOA2	nuclear receptor coactivator 2	304 / 16,405	8
PALB2	partner and localizer of BRCA2	233 / 16,405	8
SNX29	sorting nexin 29	219 / 16,405	8
AFF3	AF4/FMR2 family member 3	440 / 16,405	8
